DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
17.10.22 03:10:05;0;0;0;0;0,1
17.10.22 03:20:05;0;0;0;0;0,1
17.10.22 03:30:05;0;0;0;0;0,1
17.10.22 03:40:05;0;0;0;0;0,1
17.10.22 03:50:05;0;0;0;0;0,1
17.10.22 04:00:05;0;0;0;0;0,1
17.10.22 04:10:05;0;0;0;0;0,1
17.10.22 04:20:05;0;0;0;0;0,1
17.10.22 04:30:05;0;0;0;0;0,1
17.10.22 04:40:05;0;0;0;0;0,1
17.10.22 04:50:05;0;0;0;0;0,1
17.10.22 05:00:05;0;0;0;0;0,1
17.10.22 05:10:05;0;0;0;0;0,1
17.10.22 05:20:05;0;0;0;0;0,1
17.10.22 05:30:05;0;0;0;0;0,1
17.10.22 05:40:05;0;0;0;0;0,1
17.10.22 05:50:05;0;0;0;0,1;0,1
17.10.22 06:00:05;0;0;0;0,1;0,1
17.10.22 06:10:05;0;0;0;0,1;0,1
17.10.22 06:20:05;0;0;0;0,1;0,1
17.10.22 06:30:05;0;0;0;0,1;0,1
17.10.22 06:40:05;0;0;0;0,1;0,1
17.10.22 06:50:05;0;0;0;0,1;0,1
17.10.22 07:00:05;0;0;0;0,1;0,1
17.10.22 07:10:05;0;0;0;0,1;0,1
17.10.22 07:20:05;0;0;0;0,1;0,1
17.10.22 07:30:05;0;0;0;0,1;0,1
17.10.22 07:40:05;0;0;0;0,1;0,1
17.10.22 07:50:05;0;0;0;0,1;0,1
17.10.22 08:00:05;0;0;0;0,1;0,1
17.10.22 08:10:05;0;0;0;0,1;0,1
17.10.22 08:20:05;0;0;0;0,1;0,1
17.10.22 08:30:05;0;0;0;0,1;0,1
17.10.22 08:40:05;0;0;0;0,1;0,1
17.10.22 08:50:05;0;0;0;0,1;0,1
17.10.22 09:00:05;0;0;0;0,1;0,1
17.10.22 09:10:06;0;0;0;0,1;0,1
17.10.22 09:20:05;0;0;0;0,1;0,1
17.10.22 09:30:05;0;0;0;0,1;0,1
17.10.22 09:40:05;0;0;0;0,1;0,1
17.10.22 09:50:05;0;0;0;0,1;0,1
17.10.22 10:00:05;0;0;0;0,1;0,1
17.10.22 10:10:05;0;0;0;0,1;0,1
17.10.22 10:20:05;0;0;0;0,1;0,1
17.10.22 10:30:05;0;0;0;0,1;0,1
17.10.22 10:40:05;0;0;0;0,1;0,1
17.10.22 10:50:05;0;0;0;0,1;0,1
17.10.22 11:00:05;0;0;0;0,1;0,1
17.10.22 11:10:05;0;0;0;0,1;0,1
17.10.22 11:20:05;0;0;0;0,1;0,1
17.10.22 11:30:05;0;0;0;0,1;0,1
17.10.22 11:40:05;0;0;0;0,1;0,1
17.10.22 11:50:05;0;0;0;0,1;0,1
17.10.22 12:00:05;0;0;0;0,1;0,1
17.10.22 12:10:05;0;0;0;0,1;0,1
17.10.22 12:20:05;0;0;0;0,1;0,1
17.10.22 12:30:05;0;0;0;0,1;0,1
17.10.22 12:40:05;0;0;0;0,1;0,1
17.10.22 12:50:05;0;0;0;0,1;0,1
17.10.22 13:00:05;0;0;0;0,1;0,1
17.10.22 13:10:05;0;0;0;0,1;0,1
17.10.22 13:20:05;0;0;0;0,1;0,1
17.10.22 13:30:05;0;0;0;0,1;0,1
17.10.22 13:40:05;0;0;0;0,1;0,1
17.10.22 13:50:05;0;0;0;0,1;0,1
17.10.22 14:00:05;0;0;0;0,1;0,1
17.10.22 14:10:05;0;0;0;0,1;0,1
17.10.22 14:20:05;0;0;0;0,1;0,1
17.10.22 14:30:05;0;0;0;0,1;0,1
17.10.22 14:40:05;0;0;0;0,1;0,1
17.10.22 14:50:05;0;0;0;0,1;0,1
17.10.22 15:00:05;0;0;0;0,1;0,1
17.10.22 15:10:05;0;0;0;0,1;0,1
17.10.22 15:20:05;0;0;0;0,1;0,1
17.10.22 15:30:05;0;0;0;0,1;0,1
17.10.22 15:40:05;0;0;0;0,1;0,1
17.10.22 15:50:05;0;0;0;0,1;0,1
17.10.22 16:00:05;0;0;0;0,1;0,1
17.10.22 16:10:05;0;0;0;0,1;0,1
17.10.22 16:20:05;0;0;0;0,1;0,1
